cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2022-25273,drupal_core,"ac374d6
9006e23",,{'ac374d67c8d40d3836066e982ea61c85cfb44521': ['9006e23d6368d5771cefabed63269930f17549ed']},,,,
CVE-2022-25321,cerebrate-project_cerebrate,"e13b4e7
14ec995",,,,,,"['e13b4e7bc5f1a0ff59b52162cc99405e89c0544a', '14ec995c2bd618b181197dc6b64e63fd966b4860']"
CVE-2022-25845,alibaba_fastjson,"8f3410f
35db4ad",,,,,,"['8f3410f81cbd437f7c459f8868445d50ad301f15', '35db4adad70c32089542f23c272def1ad920a60d']"
CVE-2022-25860,steveukx_git-js,"9545931
ec97a39",,,,,,"['95459310e5b8f96e20bb77ef1a6559036b779e13', 'ec97a39ab60b89e870c5170121cd9c1603cc1951']"
CVE-2022-25867,socketio_socket.io-client-java,"e8ffe9d
8664499",,{'e8ffe9d1383736f6a21090ab959a2f4fa5a41284': ['8664499b6f31154f49783531f778dac5387b766b']},,,,
CVE-2022-25883,npm_node-semver,"717534e
2f8fd41
928e56d",,"{'717534ee353682f3bcf33e60a8af4292626d4441': ['2f8fd41487acf380194579ecb6f8b1bbfe116be0', '928e56d21150da0413a3333a3148b20e741a920c']}",,,,
CVE-2022-25892,julianhille_MuhammaraJS,"90b278d
1890fb5",,{'1890fb555eaf171db79b73fdc3ea543bbd63c002': ['90b278d09f16062d93a4160ef0a54d449d739c51']},,,,
CVE-2022-29694,unicorn-engine_unicorn,"6a879a0
31389e5
3d3deac",,,"{""6a879a082d4d67a5d13f1233ae0334cde0a7f844"": [""31389e59457f304be3809f9679f91a42daa7ebaa""]}",,"{""31389e59457f304be3809f9679f91a42daa7ebaa"": [""3d3deac5e6d38602b689c4fef5dac004f07a2e63""]}",
CVE-2022-31111,paritytech_frontier,"e3e427f
fed5e0a",,{'fed5e0a9577c10bea021721e8c2c5c378e16bf66': ['e3e427fa2e5d1200a784679f8015d4774cedc934']},,,,
CVE-2022-31124,scottcwang_openssh_key_parser,"d5b53b4
26e0a47
274447f","{'274447f91b4037b7050ae634879b657554523b39': ['26e0a471e9fdb23e635bc3014cf4cbd2323a08d3', 'd5b53b4b7e76c5b666fc657019dbf864fb04076c']}",,,,,"['26e0a471e9fdb23e635bc3014cf4cbd2323a08d3', 'd5b53b4b7e76c5b666fc657019dbf864fb04076c']"
